date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:20:54	157924/157924	---M--	200	added ('OK')	application/javascript	etag:%22432517bddc4abaebfc32fe9598be7c12%22	https://vendor-cdn.imweb.me/external/npm/vue@3/dist/vue.global.prod.js	C:/Users/%ea%b0%95%eb%af%bc%ec%9a%b0/Desktop/test-web-down/choebyeonlawfirm/vendor-cdn.imweb.me/external/npm/vue@3/dist/vue.global.prod.js	(from https://choebyeonlawfirm.co.kr/)
01:20:54	17944/17944	---M--	200	added ('OK')	application/javascript	etag:%2287d88df506ae6ff73b8f6a1f3e8520d4%22	https://vendor-cdn.imweb.me/js/axios.min.js?1689048978	C:/Users/%ea%b0%95%eb%af%bc%ec%9a%b0/Desktop/test-web-down/choebyeonlawfirm/vendor-cdn.imweb.me/js/axios.min3f46.js	(from https://choebyeonlawfirm.co.kr/)
01:20:55	73795/73795	---M--	200	added ('OK')	application/javascript	etag:%220bdface08ccbf51a82ffd7a01f8d5a3e%22	https://vendor-cdn.imweb.me/js/sentry-bundle-9.12.0.min.js?1747023716	C:/Users/%ea%b0%95%eb%af%bc%ec%9a%b0/Desktop/test-web-down/choebyeonlawfirm/vendor-cdn.imweb.me/js/sentry-bundle-9.12.0.mine0be.js	(from https://choebyeonlawfirm.co.kr/)
01:20:55	2848/2848	---M--	200	added ('OK')	application/javascript	etag:%22c49aeabcbf64f0066cc0542d7b596a6e%22	https://vendor-cdn.imweb.me/js/sentry-multiplexedtransport-9.12.0.min.js?1747023716	C:/Users/%ea%b0%95%eb%af%bc%ec%9a%b0/Desktop/test-web-down/choebyeonlawfirm/vendor-cdn.imweb.me/js/sentry-multiplexedtransport-9.12.0.mine0be.js	(from https://choebyeonlawfirm.co.kr/)
01:20:55	1387/1387	---M--	200	added ('OK')	application/javascript	etag:%2279c8e10e152674594056192e9f3b150c%22	https://vendor-cdn.imweb.me/js/sentry-modulemetadata-9.12.0.min.js?1747023716	C:/Users/%ea%b0%95%eb%af%bc%ec%9a%b0/Desktop/test-web-down/choebyeonlawfirm/vendor-cdn.imweb.me/js/sentry-modulemetadata-9.12.0.mine0be.js	(from https://choebyeonlawfirm.co.kr/)
01:20:55	2870/2870	---M--	200	added ('OK')	application/javascript	etag:%2268cba2ba-b36%22	https://choebyeonlawfirm.co.kr/js/init_sentry.js?1758175930	C:/Users/%ea%b0%95%eb%af%bc%ec%9a%b0/Desktop/test-web-down/choebyeonlawfirm/choebyeonlawfirm.co.kr/js/init_sentry0caf.js	(from https://choebyeonlawfirm.co.kr/)
01:20:56	1542/1542	---M--	200	added ('OK')	application/javascript	etag:%2269095c76-606%22	https://choebyeonlawfirm.co.kr/js/imweb_external_sdk.js?1762221174	C:/Users/%ea%b0%95%eb%af%bc%ec%9a%b0/Desktop/test-web-down/choebyeonlawfirm/choebyeonlawfirm.co.kr/js/imweb_external_sdka224.js	(from https://choebyeonlawfirm.co.kr/)
01:20:56	34425/34425	---M--	200	added ('OK')	text/javascript	date:Fri,%2008%20Aug%202025%2005:01:44%20GMT	https://t1.daumcdn.net/mapjsapi/bundle/postcode/prod/postcode.v2.js	C:/Users/%ea%b0%95%eb%af%bc%ec%9a%b0/Desktop/test-web-down/choebyeonlawfirm/t1.daumcdn.net/mapjsapi/bundle/postcode/prod/postcode.v2.js	(from https://choebyeonlawfirm.co.kr/)
01:20:56	40123/-1	---M--	200	added ('OK')	application/javascript	date:Tue,%2002%20Dec%202025%2015:51:50%20GMT	https://player.vimeo.com/api/player.js	C:/Users/%ea%b0%95%eb%af%bc%ec%9a%b0/Desktop/test-web-down/choebyeonlawfirm/player.vimeo.com/api/player.js	(from https://choebyeonlawfirm.co.kr/)
01:20:57	3187/3187	---M--	200	added ('OK')	image/png	etag:%225ea63d57-c73%22	https://choebyeonlawfirm.co.kr/common/img/default_profile.png	C:/Users/%ea%b0%95%eb%af%bc%ec%9a%b0/Desktop/test-web-down/choebyeonlawfirm/choebyeonlawfirm.co.kr/common/img/default_profile.png	(from https://choebyeonlawfirm.co.kr/)
